Municipality,Population2010
Alsip,19277
Arlington Heights,75101
Barrington,5631
Barrington Hills,2168
Bartlett,16797
Bedford Park,580
Bellwood,19071
Bensenville,0
Berkeley,5209
Berwyn,56657
Blue Island,23706
Bridgeview,16446
Broadview,7932
Brookfield,18978
Buffalo Grove,13644
Burbank,28925
Burnham,4206
Burr Ridge,3840
Calumet City,37042
Calumet Park,7835
Chicago Heights,30276
Chicago Ridge,14305
Cicero,83891
Country Club Hills,16541
Countryside,5895
Crestwood,10950
Deerfield,172
Des Plaines,58364
Dixmoor,3644
Dolton,23153
East Dundee,0
East Hazel Crest,1543
Elgin,24032
Elk Grove Village,33127
Elmwood Park,24883
Evanston,74486
Evergreen Park,19852
Flossmoor,9464
Ford Heights,2763
Forest Park,14167
Forest View,698
Frankfort,0
Franklin Park,18333
Glencoe,8723
Glenview,44692
Glenwood,8969
Golf,500
Hanover Park,20636
Harvey,25282
Harwood Heights,8612
Hazel Crest,14100
Hickory Hills,14049
Hillside,8157
Hinsdale,2227
Hodgkins,1897
Hoffman Estates,51895
Hometown,4349
Homewood,19323
Indian Head Park,3809
Inverness,7399
Justice,12926
Kenilworth,2513
La Grange,15550
La Grange Park,13579
Lansing,28331
Lemont,15987
Lincolnwood,12590
Lynwood,9007
Lyons,10729
McCook,228
Markham,12508
Matteson,19009
Maywood,24090
Melrose Park,25411
Merrionette Park,1900
Midlothian,14819
Morton Grove,23270
Mount Prospect,54167
Niles,29803
Norridge,14572
Northbrook,33170
Northfield,5420
Northlake,12323
North Riverside,6672
Oak Forest,27962
Oak Lawn,56690
Oak Park,51878
Olympia Fields,4988
Orland Hills,7149
Orland Park,56583
Palatine,68557
Palos Heights,12515
Palos Hills,17484
Palos Park,4847
Park Forest,18672
Park Ridge,37480
Phoenix,1964
Posen,5987
Prospect Heights,16256
Richton Park,13646
Riverdale,13549
River Forest,11172
River Grove,10227
Riverside,8875
Robbins,5337
Rolling Meadows,24099
Roselle,3723
Rosemont,4202
Sauk Village,10506
Schaumburg,74227
Schiller Park,11793
Skokie,64784
South Barrington,4565
South Chicago Heights,4139
South Holland,22030
Steger,4103
Stickney,6786
Stone Park,4946
Streamwood,39858
Summit,11054
Thornton,2338
Tinley Park,49236
University Park,0
Westchester,16718
Western Springs,12975
Wheeling,37648
Willow Springs,5524
Wilmette,27087
Winnetka,12187
Worth,10789
