Zip Code,Cross Borders,District,Primary City
60004,,North District,Arlington Heights
60005,,North District,Arlington Heights
60007,Yes,North District,Elk Grove Village
60008,,North District,Rolling Meadows
60010,Yes,North District,Barrington
60016,,North District,Des Plaines
60018,,North District,Des Plaines
60022,,North District,Glencoe
60025,,North District,Glenview
60026,,North District,Glenview
60029,,North District,Golf
60043,,North District,Kenilworth
60053,,North District,Morton Grove
60056,,North District,Mount Prospect
60062,,North District,Northbrook
60067,,North District,Palatine
60068,,North District,Park Ridge
60070,,North District,Prospect Heights
60074,Yes,North District,Palatine
60090,,North District,Wheeling
60091,,North District,Wilmette
60093,,North District,Winnetka
60107,,North District,Streamwood
60120,Yes,North District,Elgin
60169,,North District,Hoffman Estates
60173,,North District,Schaumburg
60192,,North District,Hoffman Estates
60193,,North District,Schaumburg
60194,,North District,Schaumburg
60195,,North District,Schaumburg
60712,,North District,Lincolnwood
60714,,North District,Niles
60409,,South District,Calumet City
60411,,South District,Chicago Heights
60419,,South District,Dolton
60422,,South District,Flossmoor
60425,,South District,Glenwood
60426,,South District,Harvey
60428,,South District,Markham
60429,,South District,Hazel Crest
60430,,South District,Homewood
60438,,South District,Lansing
60443,,South District,Matteson
60445,,South District,Midlothian
60452,,South District,Oak Forest
60461,,South District,Olympia Fields
60466,Yes,South District,Park Forest
60469,,South District,Posen
60471,Yes,South District,Richton Park
60472,,South District,Robbins
60473,,South District,South Holland
60475,Yes,South District,Steger
60476,,South District,Thornton
60477,Yes,South District,Tinley Park
60478,,South District,Country Club Hills
60827,,South District,Riverdale
60406,,Southwest District,Blue Island
60415,,Southwest District,Chicago Ridge
60439,Yes,Southwest District,Lemont
60453,,Southwest District,Oak Lawn
60455,,Southwest District,Bridgeview
60456,,Southwest District,Hometown
60457,,Southwest District,Hickory Hills
60458,,Southwest District,Justice
60462,,Southwest District,Orland Park
60463,,Southwest District,Palos Heights
60464,,Southwest District,Palos Park
60465,,Southwest District,Palos Hills
60467,Yes,Southwest District,Orland Park
60480,,Southwest District,Willow Springs
60482,,Southwest District,Worth
60487,Yes,Southwest District,Tinley Park
60501,,Southwest District,Summit Argo
60803,,Southwest District,Alsip
60805,,Southwest District,Evergreen Park
60104,,West District,Bellwood
60130,,West District,Forest Park
60131,,West District,Franklin Park
60141,,West District,Hines
60153,,West District,Maywood
60154,,West District,Westchester
60155,,West District,Broadview
60160,,West District,Melrose Park
60162,,West District,Hillside
60163,,West District,Berkeley
60164,,West District,Melrose Park
60165,,West District,Stone Park
60171,,West District,River Grove
60176,,West District,Schiller Park
60305,,West District,River Forest
60402,Yes,West District,Berwyn
60513,,West District,Brookfield
60525,,West District,La Grange
60526,,West District,La Grange Park
60534,,West District,Lyons
60546,,West District,Riverside
60558,,West District,Western Springs
60706,,West District,Harwood Heights
60707,,West District,Elmwood Park
60804,,West District,Cicero
